PLAY "Spielen"
SPINS_HIS_SPURS "{1} lässt {2}s Sporen wirbeln."
SUBSCRIBED_DUNGEONS "Abonnierte:"
SUICIDE_EFFECT_DESCRIPTION "Lässt den Angreifer sterben."
SUICIDE_EFFECT_NAME "Selbstmord"
SUNLIGHT_WARNING "Ins Sonnenlicht gehen?"
SURPRISE "Überraschung"
SWINGS "{1} schwingt {2} {3} gegen {4}."

TEAMS_LABEL "Teams:"
TECHNOLOGY_LABEL "Technologie"
TELEPORT_EFFECT_DESCRIPTION "Teleportiert an einen beliebigen Ort in der Nähe."
TELEPORT_EFFECT_NAME "Teleportation"
THE_PRESENCE_OF_A_MAGICAL_FIELD "die Anwesenheit eines magischen Feldes"
THROWS "{1} wirft {2}."
THRUST "Du stößt deine/n {1} in {2}."
THRUSTS "{1} stößt {2} {3} in {4}."
THRUSTS_ITSELF "{1} stürzt sich auf {2}."
THRUST_YOURSELF "Du stürzt dich auf {1}."
TIME_REMAINING_TILL_DAY "Verbleibende Zeit bis zum Tag."
TIME_REMAINING_TILL_NIGHTFALL "Verbleibende Zeit bis zur Nacht."
SUNLIGHT_INFO_DESCRIPTION_AND_TIMEOUT "{1} [{2}]"
DAY "Tag"
NIGHT "Nacht"
TORSO_BODY_PART "Torso"
"Torsos" : plural
TOUCH "Du berührst {1}."
TOUCHES "{1} berührt {2}."
TRANSFER_TASK "Zum Ort gehen"
TRAVEL_COMMAND_TIP "Verwende den Reisebefehl, während du einen Untergebenen oder ein Team steuerst, um an einen anderen Ort zu reisen."

UNREALIZED_EXPERIENCE_LABEL "Nicht realisierte Erfahrung:"
UNRESTRICT_ALL_EQUIPMENT "Einschränkungen für alle Ausrüstung aufheben"
UPGRADES_NEED_TO_BE_PLACED_IN_STORAGE "Beachte, dass Verbesserungen im Lager sein müssen, bevor sie hinzugefügt werden können."
UPLOAD_BUTTON "Hochladen"
UPDATE_BUTTON "Aktualisieren"
USED_WHEN_NO_WEAPON "Verwendet, wenn keine Waffe ausgerüstet ist."

VILLAGE_ACTION_PILLAGE "plündern"
VILLAGE_ACTION_TRADE "handeln"
VILLAIN_ATTACKING "angreifend"
VISUAL_EFFECT_DESCRIPTION "Nur ein visueller Effekt."
VISUAL_EFFECT_NAME "visueller Effekt"
VULGAR "vulgär"

WAIT_HOW_MANY_TURNS "Wie viele Züge warten?"
WAIT_MULTIPLE_TURNS "Mehrere Züge warten"
WALKING_INTO_FIRE_WARNING "In Feuer oder angrenzende Felder zu gehen, wird dir Schaden zufügen. Fortfahren?"
WATER_VERY_DEEP_WARNING "Das Wasser ist sehr tief, bist du sicher?"
WAVES "{1} wedelt mit {2} {3} in Richtung {4}."
WAVE "Du wedelst mit deinem {1} in Richtung {2}."

X_TO_CLEAR "zum Löschen"

YES_AND_DONT_ASK_FOR_50_TURNS "Ja, und 50 Züge lang nicht mehr fragen."
YOU_AFRAID "Plötzlich hast du große Angst."
YOU_AGGRAVATE_ENEMIES "Du reizt die Feinde."
YOU_ANGRY "Du bist plötzlich sehr wütend!"
YOU_ANGRY_HALLU "Das wird eine sehr lange Reise."
YOU_APPLY "Du wendest {1} an."
YOU_ARE_BURNING "Du brennst!"
YOU_ARE_CARRYING_TOO_MUCH "Du trägst zu viel, um das aufzuheben."
YOU_ARE_EATEN_BY "Du wirst von {1} gefressen!"
YOU_ARE_EXTINGUISHED "Deine Flammen erlöschen."
YOU_ARE_LESS_AWARE_OF_DANGER "Du bist dir der Gefahr weniger bewusst."
YOU_ARE_LESS_PEACEFUL "Du bist weniger friedlich."
YOU_ARE_LESS_RESISTANT_TO_CAPTURING "Du bist weniger widerstandsfähig gegen Gefangennahme."
YOU_ARE_MENTALLY_STABLE_AGAIN "Du fühlst dich wieder geistig stabil."
YOU_ARE_MENTALLY_UNSTABLE "Du fühlst dich geistig instabil!"
YOU_ARE_NO_LONGER_COVERED_IN_OIL "Du bist nicht länger mit Öl bedeckt."
YOU_ARE_NO_LONGER_FROZEN "Du tautest auf."
YOU_ARE_NO_LONGER_POISONED "Du bist nicht länger vergiftet."
YOU_ARE_NO_LONGER_TELEPATHIC "Du bist nicht länger telepathisch."
YOU_ARE_STANDING_SOMEWHERE_ELSE "Du stehst woanders!"
YOU_BURN_TO_DEATH "Du verbrennst!"
YOU_CAN_CAST_SPELLS_AGAIN "Du kannst wieder Zauber wirken!"




YOU_CAN_SEE_IN_THE_DARK "Jetzt kannst du im Dunkeln sehen!"
YOU_CAN_SEE_THRU_ARROWSLITS "Du kannst durch Schießscharten sehen und schießen!"
YOU_CAN_SEE_THRU_TREES "Du kannst durch Bäume sehen!"
YOU_CANT_PICK_UP_ANYTHING "Du kannst nichts aufheben!"
YOU_CANT_REMOVE_THIS_ITEM "Du kannst diesen Gegenstand nicht entfernen."
YOU_CANT_SEE_IN_THE_DARK "Du kannst nicht länger im Dunkeln sehen."
YOU_CANT_SEE_THRU_ARROWSLITS "Du kannst nicht länger durch Schießscharten sehen."
YOU_CANT_SEE_THRU_TREES "Du kannst nicht länger durch Bäume sehen."
YOU_CANT_TRAVEL_WHILE "Du kannst nicht reisen, während {2}!"
YOU_CANT_USE_THIS_ITEM "Du kannst diesen Gegenstand nicht benutzen."
YOU_CAPTURED "Du wurdest gefangen genommen!"
YOU_CHAT_WITH "Du sprichst mit {1}."
YOU_COLLAPSE "Du brichst zusammen!"
YOU_COVER_YOUR_NOSE "Du hältst dir die Nase zu."
YOU_DIE_OF_PLAGUE "Du stirbst an der Pest!"
YOU_DISMOUNT "Du steigst von {1} ab."
YOU_DONT_HAVE_THIS_SKILL "Du hast diese Fähigkeit nicht."
YOU_DONT_KNOW_HOW_TO_LEAVE "Du weißt nicht, wie du dieses Gebiet verlassen kannst."
YOU_DRINK "Du trinkst {1}."
YOU_ENTER_PORTAL "Du betrittst das Portal."
YOU_EQUIP "Du rüstest {1} aus."
YOU_FALL_ASLEEP "Du schläfst ein."
YOU_FALL_OFF "Du fällst von {1}!"
YOU_FALL_ON_THE "Du fällst auf {1}!"
YOU_FEEL_LIKE_A_DANCING_FOOL "Du fühlst dich wie ein tanzender Narr!"
YOU_FREAK_OUT "Du gerätst in Panik!"
YOU_GIVE_ITEM_TO "Du gibst {1} an {2}."
YOU_HAVE_NO_HEALTHY_ARMS "Du hast keine gesunden Arme!"
YOU_HEAR_A_LOUD_SPLASH "Du hörst ein lautes Platschen."
YOU_HEAR_HORRIBLE_SCREAM "Du hörst einen schrecklichen Schrei!"
YOU_HEAR_SNORING "Du hörst Schnarchen."
YOU_HEAR_SOMEONE_DROWNING "Du hörst ein lautes Platschen."
YOU_NO_LONGER_AGGRAVATE_ENEMIES "Du reizt Feinde nicht länger."
YOU_NO_LONGER_INVISIBLE "Du bist nicht länger unsichtbar."
YOU_PET "Du streichelst {1}."
YOU_PUT_ON_SUNGLASSES "Du setzt eine Sonnenbrille auf."
YOUR_BREATH_IS_FRESH_AGAIN "Dein Atem riecht wieder frisch."
YOUR_BREATH_STINKS "Dein Atem stinkt!"
YOUR_CARRY_CAPACITY_INCREASES "Deine Tragfähigkeit erhöht sich."
YOUR_CARRY_CAPACITY_IS_LIMITED_AGAIN "Deine Tragfähigkeit ist wieder begrenzt."
YOU_READ "Du liest {1}."
YOU_REGAIN_CONSIOUSNESS "Du erlangst das Bewusstsein zurück."
YOU_REGAIN_SANITY "Du erlangst deinen Verstand zurück."
YOU_REMOVE_SUNGLASSES "Du nimmst die Sonnenbrille ab."
YOU_RETURN_TO_YOUR_PREVIOUS_FORM "Du kehrst zu deiner vorherigen Gestalt zurück."
YOUR_INFECTION_SUBSIDES "Deine Infektion klingt ab."
YOUR_LIFE_WILL_BE_SAVED "Dein Leben wird gerettet werden."
YOUR_SPURS_STOP_SPINNING "Deine Sporen hören auf zu wirbeln."
YOU_SHATTER "Du zerspringst in tausend Stücke!"
SHATTERS "{1} zerspringt in tausend Stücke."
YOU_SPIN_YOUR_SPURS "Du lässt deine Sporen wirbeln."
YOU_STOP_BURNING "Du hörst auf zu brennen."
YOU_THROW "Du wirfst {1}."
YOU_TRIGGER_SOMETHING "Du hast etwas ausgelöst."
YOU_WAKE_UP "Du wachst auf!"

PARENTHESES "({1})"
SPACE "{1} {2}"
AND "{1} und {2}"
NO_SPACE "{1}{2}"
BODY_SIZE_AND_MATERIAL_AND_LIMBS "{1} und gefertigt aus {2} {3}."
WITH_LIMB "mit {1}"

BUFF_DESC_PREGNANT "Das ist kein Traum! Es passiert wirklich!"
BUFF_DESC_SLOWED "Verursacht unnatürlich langsame Bewegung."
BUFF_DESC_SPEED "Gewährt jede Runde eine zusätzliche Bewegung."
BUFF_DESC_BLIND "Verursacht Blindheit."
BUFF_DESC_INVISIBLE "Macht dich für Feinde unsichtbar."
BUFF_DESC_PLAGUE "Verringert die Gesundheit pro Runde, wenn sie über 50% liegt. Ein kleiner Prozentsatz der Kreaturen kann sterben, andere erleiden keinen Gesundheitsverlust."
BUFF_DESC_PLAGUE_RESISTANT "Schützt vor einer Pestinfektion."
BUFF_DESC_POISON "Verringert die Gesundheit pro Runde ein wenig."
BUFF_DESC_POISON_RESISTANT "Verleiht Giftresistenz."
BUFF_DESC_FLYING "Verursacht Levitation."
BUFF_DESC_COLLAPSED "Die Bewegung über Felder dauert dreimal so lange."
BUFF_DESC_PANIC "Erhöht die Verteidigung und reduziert den Schaden."
BUFF_DESC_RAGE "Erhöht den Schaden und reduziert die Verteidigung."
BUFF_DESC_HALLU "Verursacht Halluzinationen."
BUFF_DESC_SLEEP_RESISTANT "Verhindert, dass man schlafen gelegt wird."
BUFF_DESC_SLEEP "Versetzt in Schlaf."
BUFF_DESC_IMMOBILE "Die Kreatur bewegt sich nicht."
BUFF_DESC_TIED_UP "Spinnennetz"
BUFF_DESC_ENTANGLED "Spinnennetz"
BUFF_DESC_STUNNED "Ermöglicht Versklavung als Gefangener; andernfalls stirbt die Kreatur."
BUFF_DESC_INSANITY "Macht das Ziel allen Kreaturen gegenüber feindselig."
BUFF_DESC_PEACEFULNESS "Macht das Ziel allen Kreaturen gegenüber freundlich."
BUFF_DESC_CAPTURE_RESISTANCE "Erhöht die Verteidigung um 30%, wenn der Befehl zur Gefangennahme gegeben wird."
BUFF_DESC_DARKNESS_SOURCE "Lässt die nahe Umgebung dunkel werden. Schützt Untote vor Sonnenlicht."
BUFF_DESC_LIGHT_SOURCE "Erhellt die unmittelbare Umgebung."
BUFF_DESC_NIGHT_VISION "Verleiht Sicht im Dunkeln über volle Distanz."
BUFF_DESC_ELF_VISION "Ermöglicht das Sehen und Schießen durch Bäume."
BUFF_DESC_ARCHER_VISION "Ermöglicht das Sehen und Schießen durch Schießscharten."
BUFF_DESC_WARNING "Warnt vor Feinden und gefährlichen Fallen."
BUFF_DESC_TELEPATHY "Ermöglicht das Erkennen anderer Kreaturen mit Gehirn."
BUFF_DESC_SUNLIGHT_VULNERABLE "Sonnenlicht lässt deinen Körper zu Staub zerfallen."
BUFF_DESC_SATIATED "Erhöht die Moral und verbessert die Verteidigung um +1."
BUFF_DESC_RESTED "Erhöht die Moral und verbessert die Verteidigung um +1."
BUFF_DESC_SUMMONED "Verschwindet nach der angegebenen Anzahl an Zügen."
BUFF_DESC_FAST_CRAFTING "Erhöht die Handwerksgeschwindigkeit."
BUFF_DESC_FAST_TRAINING "Erhöht die Geschwindigkeit von Training und Studium."
BUFF_DESC_SLOW_CRAFTING "Verringert die Handwerksgeschwindigkeit."
BUFF_DESC_SLOW_TRAINING "Verringert die Geschwindigkeit von Training und Studium."
BUFF_DESC_ENTERTAINER "Macht Witze und erhöht die Moral naher Kreaturen."
BUFF_DESC_BAD_BREATH "Verringert die Moral aller nahen Kreaturen."
BUFF_DESC_ON_FIRE "Die Kreatur brennt lebendig."
BUFF_DESC_FROZEN "Die Kreatur ist eingefroren und kann sich nicht bewegen."
BUFF_DESC_MAGIC_CANCELLATION "Verhindert das Wirken jeglicher Zauber."
BUFF_DESC_DISAPPEAR_DURING_DAY "Diese Kreatur ist nur nachts aktiv und verschwindet bei Tagesanbruch."
BUFF_DESC_NO_CARRY_LIMIT "Die Kreatur kann Gegenstände ohne Gewichtslimit tragen."
BUFF_DESC_SPYING "Die Kreatur kann sich in feindliche Linien einschleichen."
BUFF_DESC_LIFE_SAVED "Verhindert den Tod der Kreatur."


BUFF_DESC_UNSTABLE "Die Kreatur kann verrückt werden, nachdem sie den Tod eines Verbündeten miterlebt hat."
BUFF_DESC_OIL "Die Kreatur ist mit Öl bedeckt und kann Feuer fangen."
BUFF_DESC_SWARMER "Gewährt einen Schadens- und Verteidigungsbonus für jeden anderen Schwarm in der Nähe."
BUFF_DESC_PSYCHIATRY "Die Kreatur wird nicht von verrückten Kreaturen angegriffen."
BUFF_DESC_TURNED_OFF "Die Kreatur benötigt mehr gebaute Automatenmotoren."
BUFF_DESC_DRUNK "Beeinträchtigt die Kampffähigkeiten."
BUFF_DESC_NO_FRIENDLY_FIRE "Pfeile und andere Geschosse durchdringen Verbündete und treffen nur Feinde."
BUFF_DESC_POLYMORPHED "Die Kreatur wird zu ihrer ursprünglichen Form zurückkehren."
BUFF_DESC_AGGRAVATES "Macht Feinde aggressiver und anfälliger dafür, die Basis anzugreifen."
BUFF_DESC_CAN_DANCE "Kann die ganze Nacht tanzen."
BUFF_DESC_STEED "Kann einen Reiter tragen."
BUFF_DESC_RIDER "Kann ein Reittier besteigen."
BUFF_DESC_LOCKED_POSITION "Kreaturen können mit diesem Automaten nicht den Platz tauschen."

CANT_CAST_SPELLS_BECAUSE_OF "Du kannst keine Zauber wirken, solange du unter dem Effekt von {1} stehst."
FLIES_AWAY "{1} fliegt davon."
ITEM_TOO_HEAVY "{1} ist zu schwer!"
OBJECT_CRASHES_ON "{1} stürzt auf {2}."
PLURAL_ITEMS_A "{2} {1}"
PLURAL_ITEMS_THE "{2} {1}"
REACHES_EXP_LEVEL "{1} erreicht Erfahrungsstufe {2}."
SPECIAL_ATTR_ADJECTIVE "{1} {2} {3}"
TORTURES "{1} foltert {2}."
WHIPS "{1} peitscht {2}."
YOU_ARE_TOO_SMALL_TO_PUSH "Du bist zu klein, um {1} zu schieben."
YOU_NEED_TO_HANDS_TO_WIELD "Du brauchst zwei Hände, um {1} zu führen!"
AGAINST "gegen {1}"
CREATURES_WITH_AT_LEAST_X_KILLS "Kreaturen mit mindestens {1} Tötungen"
CREATURES_WITH_ATTR_AT_LEAST "Kreaturen mit mindestens {1} {2}"
CREATURES_WITH_MAX_TRAINING_LEVEL_BELOW "Kreaturen mit maximalem Trainingslevel unter {1}"
ADD_INTRINSIC_ATTACK_EFFECT_DESCRIPTION "Fügt einen extra {1}-Angriff hinzu"
ADD_INTRINSIC_ATTACK_EFFECT_NAME "extra {1}-Angriff"
AREA_EFFECT_DESCRIPTION "Flächeneffekt mit Radius {1}: {2}"
AREA_EFFECT_NAME "Flächeneffekt: {1}"
A_TRAP_IS_TRIGGERED "Eine {1}-Falle wird ausgelöst"
BUFF_EFFECT_DESCRIPTION "{1} hält für {2} Züge an."
COMPANION_EFFECT_DESCRIPTION "Gewährt einen dauerhaften Begleiter {1}"
CUSTOM_AREA_EFFECT_DESCRIPTION "Benutzerdefinierter Flächeneffekt: {1}"
CUSTOM_AREA_EFFECT_NAME "Benutzerdefinierte Fläche: {1}"
DAMAGE_EFFECT_DESCRIPTION "Verursacht {1}"
EMIT_GAS_DESCRIPTION "Setzt {1} frei"
EXTRA_BODY_PART_EFFECT_DESCRIPTION "Fügt ein {1} hinzu"
EXTRA_BODY_PART_EFFECT_NAME "extra {1}"
EXTRA_BODY_PARTS_EFFECT_DESCRIPTION "Fügt {1} hinzu"
EXTRA_BODY_PARTS_EFFECT_NAME "extra {1}"
FIXED_DAMAGE_EFFECT_DESCRIPTION "Verursacht {2} {1}"
FIXED_DAMAGE_EFFECT_NAME "{2} {1}"
INJURE_BODY_PART_EFFECT_DESCRIPTION "Verletzt {1}"
INJURE_BODY_PART_EFFECT_NAME "{1} verletzen"
LOSE_BODY_PART_EFFECT_DESCRIPTION "Lässt dich ein {1} verlieren"
LOSE_BODY_PART_EFFECT_NAME "{1} verlieren"
REMOVE_ABILITY_EFFECT_DESCRIPTION "Entfernt Fähigkeit: {1}"
REMOVE_ABILITY_EFFECT_NAME "{1} entfernen"
REMOVE_BUFF_DESCRIPTION "Entfernt oder heilt von {1}"
REMOVE_BUFF_NAME "{1} entfernen"
SPELL_SCHOOL_EFFECT_DESCRIPTION "Gewährt die Zauberschule {1}"
SPELL_SCHOOL_EFFECT_NAME "Zauberschule {1} gewähren"
TECH_EFFECT_DESCRIPTION "Stellt {1} bereit"
YOU_ARE_GRANTED_A_WISH "Dir wird ein Wunsch gewährt! Was wünschst du dir?"
YOU_CANT_SWAP_POSITION_WITH "Du kannst die Position mit {1} nicht tauschen"
OBJECT_FILLS_HOLE "{1} füllt das {2}."
STATUE_OF_SAINT "{1} des Heiligen {2}"
ACHIEVEMENT_UNLOCKED "Errungenschaft freigeschaltet: {1}"
AND_SO_DIES "Und so stirbt {1}."
AND_SO_DIES_OF_REASON "Und so stirbt {1}, {2}."
NO_FUNCTIONAL_BODY_PART "Nicht funktionsfähiges Körperteil: {1}"
X_TO_VILLAGE_ACTION " nach {1}"
ITEM_BURNS_OUT "{1} verglüht."
ITEM_CATCHES_FIRE "{1} fängt Feuer."
ITEM_DISAPPEARS "{1} verschwindet!"
ITEM_NAMED "genannt {1}"
ITEM_NAME_WITH_SUFFIXES "{1} {2}"
ITEM_PREFIX "{2} {1}"
ITEM_PREFIX_SHORT "{2}"
ITEM_PRICE "({1} Gold)"
ITEM_SUFFIX "{1} {2}"
ITEM_SUFFIXES "{1}"
USES_LEFT "{1} ({2} Verwendungen übrig)"
ITEM_ATTR_IMPROVED_BY "Die Gegenstandsattribute werden um {1} verbessert"
BALSAM_OF "Balsam des {1}"
"Balsame des {1}" : plural
BODY_PART_OF "{1} {2}"
BOOK_OF "Buch über {1}"
"Bücher über {1}" : plural
MUSHROOM_OF "Pilz des {1}"
"Pilze des {1}" : plural
POTION_OF "Trank des {1}"
"Tränke des {1}" : plural
BREAKS_FREE_FROM "{1} befreit sich aus {2}."
CAN_SEE_YOU_HIDING "{1} kann dich versteckt sehen."
CUTS_TENTACLE "{1} durchtrennt den Krakenarm."
YOU_BECOME "Du wirst zu {1}."
YOU_BURN_IN "Du verbrennst in {1}."
YOU_DROWN_IN "Du ertrinkst in {1}."
ADDS_TRAINING_LEVELS "Fügt bis zu {1} Stufen {2} hinzu."
BUILDINGS_COUNT_AVAILABLE "({1} verfügbar)"
CHALLENGES_YOU_TO_A_DUEL "{1} fordert dich zu einem Duell heraus. Nimmst du an?"
COMBINE_SENTENCES "{1} {2}"
COST_DOUBLES_FOR_EVERY "Die Kosten verdoppeln sich für jede {1} {2}."
FIRST_X_ARE_FREE "Die ersten {1} {2} sind kostenlos."
INCREASES_LUXURY_BY "Erhöht den Luxus um {1}."
INCREASES_POP_LIMIT_BY "Erhöht das Limit für {1} um {2}."
INCREASES_POP_LIMIT_BY_UP_TO "Erhöht das Limit für {1} um {2}, bis zu {3}."
IS_ENGAGED_IN_A_FIGHT_WITH "{2} kämpft gegen {1}."
ITEM_INFO_NAME_COMPANION_STEED "{1} (Begleiter)"
ITEM_WONT_BE_ASSIGNED_BECAUSE_SLOT_LOCKED "{1} wird nicht dauerhaft zugewiesen, da der Platz gesperrt ist."
JOINS_YOUR_TEAM "{1} schließt sich deinem Team an."
MISSING_TECHNOLOGY "Benötigt Technologie: {1}"
MULTIPLE_ITEMS "{1} {2}"
PERMANENT_TRAIT "Dauerhaftes Merkmal: {1}"
TEMPORARY_TRAIT "Vorübergehendes Merkmal: {1} ({2} Züge)"
TOME_ACQUIRED "Du hast dir das Wissen über {1} angeeignet."
TOME_ALREADY_KNOWN "Du besitzt bereits das Wissen über {1}."
TOME_CANT_BE_USED "Du verstehst das Wissen über {1} nicht."
CANT_TRAVEL_WHILE_BEING_ATTACKED_BY "Du kannst nicht reisen, während du von {1} angegriffen wirst."
DROP_HOW_MANY "Wie viele {1} fallen lassen?"
WALKING_INTO_X_WARNING "In {1} gehen?"
EAT_AT_TASK "Essen bei {1}"
FOLLOW_TASK "{1} folgen"
WHIPPING_TASK "{1} auspeitschen"
STOMACH "Magen"
CANT_MOVE "{1} kann sich nicht bewegen!"
YOU_CANT_MOVE "Du kannst dich nicht bewegen!"
GROUP "Gruppe"
HUMANOIDS "Humanoide"
FIRE_EFFECT_DESCRIPTION "Brennt!"
FIRE_EFFECT_NAME "Feuer"
HE "er"
HER "ihr"
HIS "sein"
IT "es"
ITS "sein"
SHE "sie"
FAST_GAME_SPEED "schnell"
RANGED_WEAPON "Fernkampfwaffe"
RANGED_WEAPONS "Fernkampfwaffen"
BALSAM "Balsam"
CORPSE "Leichnam"
FIRE "Feuer"
GLYPH "Glyphe {1}"
"Glyphen {1}" : plural
GLYPH_BLIND "Glyphe"
UPGRADE_TYPE_GLYPH "Glyphe"
UPGRADE_TYPE_BALSAM "Balsam"
UPGRADE_TYPE_BODY_PART "Körperteil"
UPGRADE_TYPE_AUTOMATON_PART "Automatenteil"
LEGS "Beine"
POEM "Gedicht"
POEM_WITH_TYPE "{1} {2}"
SCROLL "Schriftrolle"
SKELETON "Skelett"
SKULL "Schädel"
SPELL "Zauber"
ABILITY "Fähigkeit"
PLAGUE "Pest"
STOPS_BURNING "{1} hört auf zu brennen."
FEELS_THE_PRESENCE_OF_A_MAGICAL_FIELD "{1} spürt die Anwesenheit eines magischen Feldes."
YOU_FEEL_THE_PRESENCE_OF_A_MAGICAL_FIELD "Du spürst die Anwesenheit eines magischen Feldes."
RENAME_MINION "Untergebenen umbenennen"
RECEIVE "Du erhältst {1}."
RECEIVES "{1} erhält {2}."
IS_KILLED "{1} wird {2}."
MORE_ADJECTIVE "mehr {1}"
NOT "nicht {1}"
PERMANENT_LASTING_DESCRIPTION "{1} Der Effekt ist dauerhaft"
PERMANENT_LASTING_NAME "dauerhaft {1}"
ACTIVITY_ON_OFF_HINT_FOR_GROUP "Klicken, um diese Aktivität für alle {1} zu deaktivieren."
COUNT_ITEM_AVAILABLE "({1} Gegenstände verfügbar)"
DISABLE_FOR_ALL_GROUP "Für alle {1} deaktivieren."
DUNGEON_REQUIRED_MODS "Benötigt Mods: {1}"
EXPERIENCE_TYPE "Erfahrungstyp: {1}"
QUARTERS_LUXURY "Gesamtluxus: {1}"
SETTING_WILL_APPLY_TO_ALL "Die Einstellung wird auf alle {1} angewendet."
SPELL_LEVEL "Stufe {1}"
TRAINING_LIMIT_TOOLTIP "Das Limit der Kreatur für diese Trainingsart ist {1}."
TRAINING_TYPE_TOOLTIP "Training von {1}."
UNLOCKS_ITEM_TYPE "Schaltet frei: {1}"
UPGRADABLE_WITH_UP_TO "Verbesserbar mit bis zu {1} {2}."
WORK_EFFICIENCY_MULTIPLIER_HINT "Arbeitseffizienz-Multiplikator: {1}"
WORLD_MAP_OF "Karte von {1}"
FALLS_ASLEEP "{1} schläft ein."
IS "{1} ist {2}."
IS_NO_LONGER "{1} ist nicht länger {2}."
ITEM_HITS "{2} trifft {1}."
ITEM_MISSES "{2} verfehlt {1}."
ITEMS_CRASH "{2} krachen gegen {1}."
ITEMS_HIT "{2} treffen {1}."
ITEMS_MISS "{2} verfehlen {1}."
YOU_DIE "Du stirbst!"
YOU_DIE_OF "Du stirbst an."
REQUIRES_A "Benötigt ein/e/n {1}"
CANT_TRAVEL_WHILE "{1} kann nicht reisen, während {2}."
OR "{1} oder {2}"
KILL_TITLE "Töter von {1}"
MINION_GROUP "{1} {2}"
YOU_HAVE_CONQUERED_THIS_LAND "Du hast dieses Land erobert. Du hast {1} Feinde getötet und {2} Punkte erzielt. Danke, dass du KeeperRL spielst!"
DEATHS "{1} Tode"
COLD_BLOODED_MURDERS "{1} Morde aus kaltem Blut"
CHOPPED_HEADS "{1} abgetrennte Köpfe"
CHOPPED_LIMBS "{1} abgetrennte Gliedmaßen"
SPELLS_CAST "{1} gewirkte Zauber"
SCROLLS_READ "{1} gelesene Schriftrollen"
WEAPONS_PRODUCED "{1} hergestellte Waffen"
PIECES_OF_ARMOR_PRODUCED "{1} hergestellte Rüstungsteile"
POTIONS_PRODUCED "{1} hergestellte Tränke"
ACHIEVED_WORLD_DOMINATION "hat die Weltherrschaft erlangt"
YOU_HAVE_SURVIVED "Du hast {1} Züge in diesem Land überlebt. Du hast {2} Feinde getötet."
TURNS_DEFENDING_THE_BASE "{1} Züge mit der Verteidigung der Basis verbracht."
TURNS_SPENT_ATTACKING "{1} Züge mit Abenteuern und Angriffen verbracht."
THANK_YOU_FOR_PLAYING "Danke, dass du KeeperRL spielst!"
RETIRED_GAME_RESULT "ausgemustert"
YOU_KILLED_AND_SCORED "Du hast {1} Feinde getötet und {2} Punkte erzielt."
OF "{1} von {2}"
ITEM_BURNS "{1} brennt in {2}."
ITEMS_BURN "{1} brennen in {2}."
ITEM_SINKS "{1} sinkt in {2}."
ITEMS_SINK "{1} sinken in {2}."
NO_LONGER_SUPER "nicht länger super"
SUPER "super"
YOU_START_BLEEDING "Du beginnst zu bluten."
STARTS_BLEEDING "{1} beginnt zu bluten."
YOU_STOP_BLEEDING "Deine Blutung hört auf."
STOPS_BLEEDING "{1} hört auf zu bluten."
MORE_MASCULINE "maskuliner"
MORE_FEMININE "femininer"
MORE_NEUTER "neutraler"
PRISONER_FROM_NAME "{1} (Gefangener)"
DEFENSE_BONUS_AGAINST "Gewährt einen Verteidigungsbonus von +{1} gegen {2}."
ALCHEMY_TECH_NAME "Alchemie"
INCENDIARY_ALCHEMY_TECH_NAME "Brandalchemie"
ADVANCED_ALCHEMY_TECH_NAME "Fortgeschrittene Alchemie"
EMBALMING_TECH_NAME "Einbalsamieren"
ADVANCED_EMBALMING_TECH_NAME "Fortgeschrittenes Einbalsamieren"
MASTER_EMBALMING_TECH_NAME "Meisterhaftes Einbalsamieren"
NECROMANCY_TECH_NAME "Nekromantie"
ADVANCED_NECROMANCY_TECH_NAME "Fortgeschrittene Nekromantie"
MASTER_NECROMANCY_TECH_NAME "Meisterhafte Nekromantie"
ALCHEMICAL_CONVERSION_TECH_NAME "Alchemistische Umwandlung"
HUMANOID_MUTATION_TECH_NAME "Humanoide Mutation"
BEAST_MUTATION_TECH_NAME "Bestienmutation"
CHICKEN_BREEDING_TECH_NAME "Hühnerzucht"
PIG_BREEDING_TECH_NAME "Schweinezucht"
COW_BREEDING_TECH_NAME "Kuhzucht"
IRON_WORKING_TECH_NAME "Eisenverarbeitung"
JEWELLERY_TECH_NAME "Schmuckherstellung"
DISTILLATION_TECH_NAME "Destillation"
TWO_HANDED_WEAPONS_TECH_NAME "Zweihandwaffen"
TRAPS_TECH_NAME "Fallen"
ADVANCED_TRAPS_TECH_NAME "Fortgeschrittene Fallen"
ARCHERY_TECH_NAME "Bogenschießen"
SORCERY_TECH_NAME "Zauberei"



ADVANCED_SORCERY_TECH_NAME "Fortgeschrittene Zauberei"
MAGICAL_WEAPONS_TECH_NAME "Magische Waffen"
MASTER_SORCERY_TECH_NAME "Meisterhafte Zauberei"
DEMONOLOGY_TECH_NAME "Dämonologie"
WORSHIP_TECH_NAME "Anbetung"
AUTOMATONS_TECH_NAME "Automaten"
AUTOMATED_CRAFTING_TECH_NAME "Automatisierte Handwerkskunst"
ADVANCED_AUTOMATONS_TECH_NAME "Fortgeschrittene Automaten"
AUTOMATON_BRAINS_TECH_NAME "Automatenhirne"
AERODYNAMICS_TECH_NAME "Aerodynamik"
EXPLOSIVES_TECH_NAME "Sprengstoffe"
LUXURY_TECH_NAME "Luxus"
SMALL_TEMPTATIONS_TECH_NAME "Kleine Versuchungen"
